65s 25.08 Mbps
65.2s 25.56 Mbps
65.4s 24.66 Mbps
65.6s 25.08 Mbps
65.8s 25.32 Mbps
66s 24.84 Mbps
66.2s 25.26 Mbps
66.4s 24.9 Mbps
66.6s 25.02 Mbps
66.8s 25.56 Mbps
67s 24.6 Mbps
67.2s 25.02 Mbps
67.4s 25.08 Mbps
67.6s 25.02 Mbps
67.8s 25.74 Mbps
68s 24.24 Mbps
68.2s 24.9 Mbps
68.4s 25.08 Mbps
68.6s 24.9 Mbps
68.8s 25.98 Mbps
69s 23.94 Mbps
69.2s 24.96 Mbps
69.4s 25.02 Mbps
69.6s 24.9 Mbps
69.8s 26.28 Mbps
70s 23.7 Mbps
70.2s 24.9 Mbps
70.4s 25.08 Mbps
70.6s 24.9 Mbps
70.8s 26.04 Mbps
71s 23.94 Mbps
71.2s 24.9 Mbps
71.4s 25.02 Mbps
71.6s 24.96 Mbps
71.8s 25.8 Mbps
72s 24.12 Mbps
72.2s 24.96 Mbps
72.4s 25.02 Mbps
72.6s 24.9 Mbps
72.8s 25.56 Mbps
73s 5.28 Mbps
73.2s 10.62 Mbps
73.4s 25.5 Mbps
73.6s 25.26 Mbps
73.8s 25.32 Mbps
74s 26.46 Mbps
74.2s 24 Mbps
74.4s 25.2 Mbps
74.6s 25.14 Mbps
74.8s 25.2 Mbps
75s 26.22 Mbps
75.2s 24 Mbps
75.4s 25.14 Mbps
75.6s 25.14 Mbps
75.8s 25.08 Mbps
76s 25.92 Mbps
76.2s 24.24 Mbps
76.4s 25.08 Mbps
76.6s 25.08 Mbps
76.8s 25.08 Mbps
77s 25.68 Mbps
77.2s 24.42 Mbps
77.4s 25.08 Mbps
77.6s 25.14 Mbps
77.8s 24.96 Mbps
78s 25.38 Mbps
78.2s 24.72 Mbps
78.4s 24.9 Mbps
78.6s 25.38 Mbps
78.8s 24.6 Mbps
79s 25.02 Mbps
79.2s 24.96 Mbps
79.4s 24.9 Mbps
79.6s 25.62 Mbps
79.8s 24.36 Mbps
80s 24.9 Mbps
80.2s 25.02 Mbps
80.4s 24.96 Mbps
80.6s 25.8 Mbps
80.8s 24.12 Mbps
81s 24.96 Mbps
81.2s 25.02 Mbps
81.4s 24.9 Mbps
81.6s 26.1 Mbps
81.8s 23.88 Mbps
82s 24.9 Mbps
82.2s 25.02 Mbps
82.4s 24.96 Mbps
82.6s 26.16 Mbps
82.8s 23.76 Mbps
83s 24.96 Mbps
83.2s 25.02 Mbps
83.4s 15.78 Mbps
83.6s 1.02 Mbps
83.8s 25.56 Mbps
84s 24.72 Mbps
84.2s 25.26 Mbps
84.4s 25.32 Mbps
84.6s 25.2 Mbps
84.8s 25.98 Mbps
85s 24.42 Mbps
85.2s 25.14 Mbps
85.4s 25.14 Mbps
85.6s 25.14 Mbps
85.8s 26.16 Mbps
86s 24.06 Mbps
86.2s 25.14 Mbps
86.4s 25.08 Mbps
86.6s 25.08 Mbps
86.8s 26.4 Mbps
87s 23.76 Mbps
87.2s 25.08 Mbps
87.4s 25.08 Mbps
87.6s 25.08 Mbps
87.8s 26.1 Mbps
88s 24 Mbps
88.2s 25.02 Mbps
88.4s 25.08 Mbps
88.6s 25.02 Mbps
88.8s 25.8 Mbps
89s 24.18 Mbps
89.2s 24.9 Mbps
89.4s 25.08 Mbps
89.6s 24.9 Mbps
89.8s 25.5 Mbps
90s 24.48 Mbps
90.2s 24.9 Mbps
90.4s 25.14 Mbps
90.6s 24.84 Mbps
90.8s 25.2 Mbps
91s 24.72 Mbps
91.2s 24.96 Mbps
91.4s 25.38 Mbps
91.6s 24.54 Mbps
91.8s 25.02 Mbps
92s 24.96 Mbps
92.2s 24.9 Mbps
92.4s 25.68 Mbps
92.6s 24.3 Mbps
92.8s 24.9 Mbps
93s 25.02 Mbps
93.2s 24.96 Mbps
93.4s 25.86 Mbps
93.6s 24.06 Mbps
93.8s 24.96 Mbps
94s 2.04 Mbps
94.2s 14.46 Mbps
94.4s 25.62 Mbps
94.6s 26.46 Mbps
94.8s 24.12 Mbps
95s 25.2 Mbps
95.2s 25.2 Mbps
95.4s 25.2 Mbps
95.6s 26.1 Mbps
95.8s 24.18 Mbps
96s 25.14 Mbps
96.2s 25.14 Mbps
96.4s 25.08 Mbps
96.6s 25.86 Mbps
96.8s 24.36 Mbps
97s 25.08 Mbps
97.2s 25.08 Mbps
97.4s 25.08 Mbps
97.6s 25.56 Mbps
97.8s 24.6 Mbps
98s 25.02 Mbps
98.2s 25.32 Mbps
98.4s 24.84 Mbps
98.6s 25.26 Mbps
98.8s 24.84 Mbps
99s 25.02 Mbps
99.2s 25.5 Mbps
99.4s 24.54 Mbps
99.6s 24.9 Mbps
99.8s 25.02 Mbps
100s 24.96 Mbps
100.2s 25.74 Mbps
100.4s 24.18 Mbps
100.6s 24.96 Mbps
100.8s 25.02 Mbps
101s 24.9 Mbps
101.2s 26.04 Mbps
101.4s 23.94 Mbps
101.6s 24.9 Mbps
101.8s 25.08 Mbps
102s 24.9 Mbps
102.2s 26.22 Mbps
102.4s 23.76 Mbps
102.6s 24.9 Mbps
102.8s 25.02 Mbps
103s 24.96 Mbps
103.2s 26.04 Mbps
103.4s 23.88 Mbps
103.6s 24.96 Mbps
103.8s 25.02 Mbps
104s 24.9 Mbps
104.2s 25.8 Mbps
104.4s 6.3 Mbps
104.6s 9.36 Mbps
104.8s 25.44 Mbps
105s 25.32 Mbps
105.2s 25.26 Mbps
105.4s 26.16 Mbps
105.6s 24.36 Mbps
105.8s 25.2 Mbps
106s 25.14 Mbps
106.2s 25.14 Mbps
106.4s 26.28 Mbps
106.6s 24 Mbps
106.8s 25.14 Mbps
107s 25.08 Mbps
107.2s 25.14 Mbps
107.4s 26.28 Mbps
107.6s 23.88 Mbps
107.8s 25.08 Mbps
108s 25.08 Mbps
108.2s 25.08 Mbps
108.4s 26.04 Mbps
108.6s 24.06 Mbps
108.8s 25.08 Mbps
109s 25.02 Mbps
109.2s 25.08 Mbps
109.4s 25.74 Mbps
109.6s 24.3 Mbps
109.8s 24.96 Mbps
110s 25.08 Mbps
110.2s 24.9 Mbps
110.4s 25.38 Mbps
110.6s 24.54 Mbps
110.8s 24.96 Mbps
111s 25.2 Mbps
111.2s 24.72 Mbps
111.4s 25.2 Mbps
111.6s 24.78 Mbps
111.8s 24.9 Mbps
112s 25.5 Mbps
112.2s 24.48 Mbps
112.4s 24.9 Mbps
112.6s 25.08 Mbps
112.8s 24.9 Mbps
113s 25.74 Mbps
113.2s 24.24 Mbps
113.4s 24.9 Mbps
113.6s 25.02 Mbps
113.8s 24.96 Mbps
114s 25.98 Mbps
114.2s 23.94 Mbps
114.4s 24.96 Mbps
114.6s 25.02 Mbps
114.8s 17.28 Mbps
115s 1.14 Mbps
115.2s 23.46 Mbps
115.4s 25.32 Mbps
115.6s 25.26 Mbps
115.8s 26.16 Mbps
116s 24.3 Mbps
116.2s 25.2 Mbps
116.4s 25.2 Mbps
116.6s 25.14 Mbps
116.8s 26.28 Mbps
117s 24 Mbps
117.2s 25.14 Mbps
117.4s 25.08 Mbps
117.6s 25.14 Mbps
117.8s 26.34 Mbps
118s 23.82 Mbps
118.2s 25.08 Mbps
118.4s 25.08 Mbps
118.6s 25.08 Mbps
118.8s 26.04 Mbps
119s 24.06 Mbps
119.2s 25.08 Mbps
119.4s 25.02 Mbps
119.6s 25.08 Mbps
119.8s 25.74 Mbps
120s 24.3 Mbps
120.2s 24.96 Mbps
120.4s 25.08 Mbps
120.6s 24.9 Mbps
120.8s 25.44 Mbps
121s 24.48 Mbps
121.2s 24.96 Mbps
121.4s 25.2 Mbps
121.6s 24.72 Mbps
121.8s 25.2 Mbps
122s 24.78 Mbps
122.2s 24.9 Mbps
122.4s 25.5 Mbps
122.6s 24.48 Mbps
122.8s 24.9 Mbps
